satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department,salary,left
0.72,0.96,3.0,143.0,3.0,0.0,0.0,,low,0
0.52,0.92,3.0,214.0,3.0,0.0,,accounting,low,0
0.5,0.62,4.0,166.0,3.0,1.0,0.0,support,low,0
0.52,0.82,3.0,192.0,3.0,0.0,0.0,technical,low,0
0.13,0.87,3.0,185.0,4.0,1.0,0.0,management,low,0
,0.98,4.0,173.0,3.0,0.0,0.0,marketing,low,0
0.53,0.98,2.0,163.0,3.0,,0.0,marketing,low,0
0.15,,5.0,277.0,4.0,0.0,0.0,marketing,low,0
0.64,0.86,5.0,274.0,2.0,1.0,0.0,sales,low,0
0.52,0.44,3.0,119.0,2.0,0.0,0.0,sales,low,0
0.79,0.67,4.0,267.0,3.0,0.0,0.0,sales,low,0
0.74,0.89,3.0,160.0,,0.0,0.0,sales,low,0
0.81,0.84,4.0,198.0,2.0,0.0,0.0,sales,low,0
0.94,0.6,3.0,193.0,3.0,0.0,0.0,sales,low,0
0.67,0.84,6.0,250.0,2.0,0.0,0.0,sales,low,0
0.93,0.84,3.0,237.0,4.0,1.0,0.0,sales,low,0
0.52,,4.0,,2.0,0.0,0.0,sales,low,0
0.48,0.74,2.0,157.0,2.0,1.0,0.0,sales,medium,0
0.57,0.92,6.0,267.0,4.0,0.0,0.0,sales,medium,0
0.71,0.77,4.0,192.0,4.0,0.0,0.0,sales,medium,0
0.9,0.74,4.0,218.0,2.0,1.0,0.0,sales,medium,0
0.58,0.61,4.0,210.0,3.0,0.0,0.0,sales,medium,0
0.66,0.48,4.0,229.0,4.0,0.0,0.0,sales,medium,0
0.59,0.66,3.0,186.0,3.0,0.0,0.0,sales,medium,0
0.96,0.5,3.0,234.0,2.0,1.0,0.0,sales,medium,0
0.13,0.91,2.0,149.0,5.0,,0.0,sales,medium,0
0.93,0.92,3.0,205.0,,0.0,0.0,sales,medium,0
0.54,0.72,3.0,148.0,,0.0,0.0,accounting,medium,0
0.54,0.77,5.0,270.0,3.0,0.0,0.0,,medium,0
0.87,0.62,3.0,176.0,3.0,0.0,0.0,accounting,high,0
0.79,0.91,3.0,,2.0,0.0,0.0,hr,low,0
0.83,0.57,,232.0,4.0,0.0,0.0,hr,medium,0
0.73,0.6,3.0,137.0,3.0,0.0,0.0,hr,medium,0
0.29,0.42,6.0,253.0,3.0,0.0,0.0,hr,medium,0
0.8,0.7,,231.0,4.0,0.0,0.0,technical,medium,0
0.29,0.81,3.0,189.0,6.0,0.0,0.0,technical,low,0
0.43,0.85,6.0,168.0,2.0,0.0,0.0,technical,low,0
0.99,0.93,3.0,261.0,3.0,0.0,0.0,technical,low,0
0.86,0.51,4.0,152.0,3.0,0.0,0.0,technical,low,0
0.85,0.78,5.0,,2.0,1.0,0.0,technical,low,0
0.66,0.68,3.0,258.0,3.0,0.0,0.0,technical,low,0
0.57,0.99,3.0,205.0,3.0,0.0,0.0,technical,low,0
0.31,0.64,6.0,183.0,2.0,1.0,0.0,technical,low,0
0.88,0.88,3.0,153.0,3.0,,,technical,low,0
0.72,0.72,5.0,194.0,4.0,0.0,0.0,technical,low,0
0.75,0.66,4.0,202.0,2.0,0.0,0.0,support,low,0
0.82,0.71,4.0,164.0,,0.0,0.0,support,low,0
0.82,0.67,3.0,213.0,2.0,0.0,0.0,support,low,0
0.15,0.52,4.0,265.0,6.0,0.0,,support,low,0
0.16,0.88,6.0,218.0,3.0,0.0,0.0,support,low,0
0.95,0.4,,286.0,4.0,0.0,0.0,support,low,0
0.87,0.73,3.0,172.0,3.0,1.0,0.0,support,low,0
0.85,0.89,4.0,251.0,2.0,0.0,0.0,support,low,0
0.58,0.6,3.0,110.0,,1.0,0.0,,low,0
0.63,0.86,3.0,269.0,4.0,0.0,0.0,support,low,0
0.69,0.68,3.0,151.0,3.0,1.0,0.0,support,low,0
0.53,0.85,5.0,161.0,2.0,0.0,0.0,technical,medium,0
0.96,0.71,4.0,210.0,,,,technical,medium,0
0.73,0.83,2.0,167.0,3.0,0.0,0.0,technical,medium,0
,0.6,3.0,270.0,3.0,1.0,0.0,management,medium,0
0.81,0.83,3.0,133.0,3.0,1.0,0.0,IT,medium,0
0.82,0.59,3.0,249.0,3.0,0.0,0.0,IT,medium,0
0.76,,4.0,266.0,3.0,0.0,0.0,IT,medium,0
0.27,0.82,4.0,276.0,2.0,0.0,0.0,IT,medium,0
0.64,0.38,6.0,215.0,3.0,0.0,0.0,IT,medium,0
0.57,0.9,3.0,262.0,2.0,0.0,0.0,product_mng,medium,0
0.49,0.84,5.0,193.0,3.0,0.0,,,medium,0
,0.92,2.0,102.0,4.0,0.0,0.0,product_mng,medium,0
0.71,0.36,4.0,278.0,4.0,1.0,0.0,product_mng,high,0
0.61,0.63,3.0,250.0,4.0,0.0,0.0,IT,low,0
0.52,0.89,5.0,193.0,,0.0,0.0,RandD,medium,0
0.62,0.91,3.0,133.0,3.0,0.0,0.0,RandD,medium,0
0.98,0.65,4.0,216.0,4.0,,0.0,RandD,medium,0
0.67,0.56,5.0,174.0,,1.0,0.0,RandD,medium,0
0.85,0.62,2.0,,4.0,0.0,0.0,RandD,low,0
0.84,0.85,4.0,,2.0,0.0,0.0,marketing,low,0
1.0,0.53,3.0,142.0,3.0,0.0,0.0,sales,low,0
0.72,0.76,4.0,144.0,3.0,1.0,0.0,accounting,low,0
0.66,0.75,6.0,100.0,4.0,1.0,0.0,support,low,0
0.64,0.71,,212.0,2.0,0.0,0.0,technical,low,0
1.0,0.76,5.0,201.0,3.0,0.0,0.0,management,low,0
0.75,0.59,5.0,206.0,2.0,0.0,0.0,marketing,low,0
0.81,0.77,4.0,197.0,3.0,0.0,,marketing,low,0
0.31,0.98,5.0,232.0,5.0,,0.0,marketing,low,0
0.32,0.97,6.0,272.0,2.0,0.0,0.0,sales,low,0
0.48,0.5,4.0,173.0,3.0,0.0,0.0,sales,low,0
0.62,0.42,2.0,124.0,2.0,0.0,0.0,sales,low,0
0.77,0.86,5.0,282.0,4.0,,0.0,sales,low,0
0.76,0.8,2.0,219.0,4.0,1.0,0.0,sales,low,0
0.68,0.41,3.0,106.0,6.0,0.0,0.0,sales,low,0
0.72,0.79,4.0,192.0,4.0,0.0,0.0,sales,low,0
0.87,0.91,5.0,190.0,2.0,0.0,0.0,sales,low,0
0.59,0.57,,156.0,2.0,0.0,0.0,sales,,0
0.7,0.64,3.0,180.0,2.0,0.0,0.0,sales,low,0
0.73,0.81,4.0,245.0,2.0,0.0,0.0,sales,low,0
0.58,,,169.0,2.0,0.0,0.0,sales,medium,0
0.64,0.66,3.0,188.0,,0.0,0.0,sales,medium,0
0.89,0.66,5.0,224.0,2.0,0.0,0.0,sales,medium,0
0.95,0.71,3.0,263.0,2.0,1.0,0.0,sales,medium,0
0.84,0.9,3.0,262.0,2.0,0.0,0.0,sales,medium,0
0.6,0.99,4.0,225.0,3.0,0.0,0.0,sales,medium,0
0.71,0.63,5.0,224.0,3.0,1.0,0.0,sales,medium,0
0.6,0.95,3.0,266.0,3.0,0.0,0.0,,medium,0
0.91,0.68,3.0,218.0,3.0,1.0,0.0,accounting,medium,0
0.75,,3.0,102.0,3.0,0.0,0.0,accounting,medium,0
0.7,0.67,4.0,181.0,3.0,0.0,0.0,accounting,medium,0
,0.64,5.0,150.0,5.0,0.0,0.0,hr,medium,0
0.73,0.83,4.0,270.0,2.0,0.0,0.0,hr,high,0
0.99,0.49,4.0,270.0,2.0,0.0,0.0,hr,low,0
0.62,0.68,5.0,265.0,3.0,0.0,0.0,hr,medium,0
0.98,0.89,4.0,169.0,3.0,0.0,0.0,technical,medium,0
0.61,0.94,3.0,,4.0,0.0,0.0,technical,medium,0
,0.92,3.0,150.0,2.0,1.0,0.0,technical,medium,0
0.65,0.66,5.0,239.0,4.0,0.0,0.0,technical,low,0
0.59,0.9,3.0,245.0,3.0,1.0,0.0,technical,low,0
0.71,0.8,3.0,182.0,2.0,1.0,0.0,technical,low,0
0.18,0.7,5.0,182.0,4.0,0.0,0.0,technical,low,0
0.21,0.93,4.0,243.0,4.0,0.0,0.0,technical,low,0
0.15,0.67,6.0,209.0,5.0,0.0,0.0,technical,low,0
0.97,0.53,4.0,195.0,4.0,0.0,0.0,technical,low,0
0.39,0.48,3.0,190.0,2.0,0.0,0.0,technical,low,0
0.35,,2.0,140.0,,0.0,0.0,support,,0
0.88,0.58,4.0,147.0,4.0,0.0,0.0,support,medium,0
0.58,0.97,,265.0,3.0,0.0,0.0,support,medium,0
0.61,0.78,3.0,238.0,2.0,0.0,0.0,support,medium,0
0.59,0.98,3.0,155.0,3.0,0.0,0.0,support,medium,0
0.55,0.41,4.0,132.0,5.0,1.0,0.0,support,medium,0
0.52,0.8,5.0,257.0,3.0,0.0,0.0,support,medium,0
0.71,0.77,2.0,255.0,3.0,0.0,0.0,support,medium,0
0.63,0.82,5.0,229.0,2.0,0.0,0.0,support,medium,0
0.17,0.84,,216.0,4.0,0.0,0.0,support,medium,0
0.95,0.49,4.0,269.0,4.0,0.0,0.0,support,medium,0
1.0,0.73,3.0,205.0,2.0,0.0,0.0,technical,medium,0
0.73,0.96,2.0,151.0,3.0,0.0,0.0,technical,,0
0.8,0.64,4.0,246.0,3.0,1.0,0.0,technical,medium,0
0.63,0.8,,256.0,4.0,0.0,0.0,management,medium,0
0.95,0.59,4.0,235.0,3.0,0.0,0.0,IT,medium,0
0.75,0.83,4.0,229.0,2.0,0.0,0.0,IT,medium,0
0.64,0.72,5.0,158.0,3.0,0.0,0.0,IT,medium,0
0.72,1.0,3.0,197.0,3.0,0.0,0.0,IT,medium,0
0.72,0.53,3.0,151.0,4.0,,,IT,medium,0
0.85,0.63,3.0,167.0,3.0,,,product_mng,medium,0
0.24,0.94,4.0,146.0,4.0,0.0,0.0,product_mng,medium,0
,0.53,4.0,,4.0,0.0,0.0,product_mng,,0
0.69,0.7,3.0,212.0,2.0,0.0,0.0,product_mng,medium,0
0.87,0.59,5.0,261.0,3.0,0.0,0.0,,medium,0
0.78,0.91,3.0,238.0,2.0,0.0,0.0,RandD,high,0
0.76,0.74,4.0,235.0,3.0,0.0,0.0,RandD,,0
0.35,0.7,3.0,107.0,3.0,0.0,0.0,RandD,high,0
0.88,0.59,6.0,243.0,4.0,0.0,0.0,RandD,high,0
0.78,0.79,5.0,233.0,3.0,1.0,0.0,RandD,high,0
0.36,0.42,3.0,206.0,5.0,0.0,0.0,marketing,high,0
0.24,0.7,5.0,172.0,4.0,0.0,0.0,sales,high,0
0.55,0.82,3.0,248.0,2.0,0.0,0.0,accounting,high,0
0.91,0.53,3.0,147.0,4.0,1.0,0.0,support,high,0
0.66,0.61,5.0,259.0,3.0,0.0,0.0,technical,high,0
0.57,0.82,3.0,267.0,3.0,0.0,0.0,management,high,0
0.64,0.64,3.0,263.0,3.0,0.0,0.0,marketing,high,0
0.63,0.98,3.0,160.0,4.0,1.0,0.0,marketing,low,0
0.49,0.92,5.0,176.0,3.0,0.0,0.0,marketing,low,0
0.7,0.7,3.0,224.0,3.0,0.0,0.0,sales,low,0
0.3,0.71,3.0,,2.0,0.0,0.0,sales,low,0
0.51,0.52,3.0,132.0,3.0,0.0,0.0,sales,low,0
0.71,0.87,5.0,173.0,3.0,0.0,0.0,sales,low,0
0.64,0.67,3.0,165.0,3.0,0.0,0.0,sales,low,0
0.67,0.66,6.0,,3.0,0.0,0.0,sales,low,0
0.83,0.94,5.0,156.0,3.0,1.0,0.0,sales,low,0
0.92,0.96,3.0,154.0,2.0,1.0,0.0,sales,low,0
0.84,0.53,3.0,237.0,3.0,1.0,,sales,low,0
0.97,0.75,2.0,271.0,6.0,0.0,0.0,sales,low,0
0.19,0.91,6.0,152.0,3.0,0.0,0.0,sales,low,0
0.86,0.51,4.0,152.0,3.0,1.0,0.0,sales,,0
0.71,,3.0,172.0,3.0,0.0,,sales,low,0
0.76,0.56,,214.0,2.0,1.0,0.0,sales,medium,0
0.68,0.88,5.0,201.0,3.0,0.0,0.0,sales,,0
0.61,0.99,,275.0,,1.0,0.0,sales,medium,0
0.85,0.79,3.0,156.0,,0.0,0.0,sales,medium,0
0.84,0.89,3.0,234.0,2.0,0.0,0.0,sales,medium,0
0.62,0.63,2.0,123.0,2.0,0.0,0.0,sales,medium,0
0.77,,3.0,201.0,4.0,0.0,0.0,,medium,0
0.79,0.93,5.0,,4.0,1.0,0.0,accounting,medium,0
,0.5,3.0,173.0,2.0,0.0,0.0,accounting,medium,0
0.59,0.61,4.0,141.0,2.0,1.0,0.0,hr,medium,0
0.93,0.62,3.0,231.0,6.0,,0.0,hr,medium,0
0.85,0.54,4.0,174.0,2.0,0.0,0.0,hr,medium,0
,0.57,4.0,211.0,3.0,0.0,0.0,hr,,0
0.54,0.91,3.0,249.0,3.0,0.0,0.0,technical,high,0
0.42,,2.0,108.0,5.0,0.0,0.0,technical,high,0
0.96,0.75,4.0,165.0,,0.0,0.0,technical,high,0
0.58,0.8,3.0,181.0,4.0,0.0,0.0,technical,high,0
0.61,0.59,3.0,237.0,2.0,0.0,0.0,technical,high,0
0.62,0.97,5.0,180.0,2.0,0.0,0.0,technical,high,0
0.68,0.7,3.0,209.0,3.0,0.0,0.0,technical,high,0
0.6,0.73,3.0,191.0,5.0,1.0,0.0,technical,low,0
0.7,0.91,4.0,181.0,2.0,1.0,0.0,,low,0
0.65,0.55,4.0,250.0,2.0,0.0,0.0,technical,low,0
0.48,0.59,2.0,179.0,2.0,,0.0,technical,,0
0.75,0.73,3.0,225.0,4.0,0.0,0.0,support,low,0
0.69,,5.0,267.0,2.0,,0.0,support,low,0
0.34,0.46,2.0,169.0,2.0,1.0,0.0,support,low,0
0.59,0.49,4.0,164.0,3.0,0.0,0.0,support,low,0
0.94,0.95,4.0,155.0,3.0,0.0,0.0,support,medium,0
0.98,0.77,5.0,223.0,2.0,1.0,0.0,support,medium,0
0.72,0.66,3.0,160.0,3.0,0.0,0.0,support,medium,0
0.79,0.7,4.0,,2.0,0.0,0.0,support,medium,0
0.54,0.61,4.0,151.0,4.0,1.0,0.0,support,medium,0
0.73,0.95,3.0,156.0,2.0,0.0,0.0,support,medium,0
0.82,0.58,4.0,136.0,3.0,0.0,0.0,support,medium,0
0.57,0.45,3.0,189.0,2.0,0.0,,technical,medium,0
0.98,0.93,5.0,203.0,2.0,0.0,0.0,technical,medium,0
0.91,0.65,5.0,174.0,2.0,0.0,0.0,technical,medium,0
0.72,0.91,3.0,239.0,2.0,0.0,0.0,management,medium,0
0.48,0.73,5.0,152.0,6.0,0.0,0.0,IT,medium,0
0.57,0.86,4.0,268.0,6.0,0.0,0.0,IT,medium,0
0.86,0.96,4.0,146.0,3.0,0.0,,IT,medium,0
0.63,0.85,3.0,232.0,4.0,0.0,0.0,IT,medium,0
0.81,0.52,3.0,255.0,5.0,0.0,0.0,,medium,0
0.21,0.37,4.0,129.0,4.0,0.0,0.0,product_mng,medium,0
0.9,0.66,3.0,261.0,3.0,1.0,0.0,product_mng,,0
,,3.0,,2.0,1.0,0.0,product_mng,medium,0
0.95,0.49,4.0,229.0,3.0,0.0,0.0,product_mng,medium,0
0.29,0.43,3.0,162.0,4.0,0.0,0.0,IT,medium,0
0.81,0.52,4.0,,3.0,0.0,0.0,RandD,medium,0
0.21,0.56,6.0,277.0,5.0,0.0,0.0,RandD,medium,0
0.7,0.83,5.0,261.0,4.0,0.0,0.0,RandD,high,0
,0.64,4.0,204.0,2.0,0.0,0.0,RandD,low,0
0.16,0.86,2.0,215.0,2.0,0.0,0.0,RandD,medium,0
0.72,0.8,3.0,219.0,,0.0,0.0,marketing,medium,0
0.51,0.5,3.0,147.0,4.0,0.0,0.0,sales,medium,0
0.59,0.63,5.0,243.0,2.0,0.0,0.0,,medium,0
0.66,0.4,2.0,155.0,5.0,1.0,0.0,support,medium,0
0.69,0.84,3.0,253.0,2.0,0.0,0.0,technical,medium,0
0.69,0.94,4.0,235.0,3.0,0.0,0.0,management,medium,0
0.89,0.79,5.0,257.0,,0.0,0.0,marketing,medium,0
0.52,0.56,4.0,225.0,2.0,,0.0,marketing,medium,0
0.91,0.91,3.0,167.0,3.0,0.0,0.0,marketing,medium,0
,0.53,5.0,224.0,4.0,0.0,0.0,sales,low,0
0.8,0.58,5.0,127.0,3.0,0.0,0.0,sales,low,0
0.55,0.77,3.0,256.0,3.0,1.0,0.0,sales,low,0
0.93,0.63,4.0,233.0,2.0,0.0,0.0,sales,low,0
0.93,0.86,,169.0,4.0,0.0,0.0,sales,low,0
0.54,0.48,3.0,152.0,2.0,0.0,0.0,sales,low,0
0.48,0.76,5.0,236.0,,0.0,,,low,0
0.19,0.99,3.0,154.0,2.0,0.0,0.0,sales,high,0
0.95,0.71,3.0,223.0,2.0,0.0,0.0,sales,low,0
0.96,0.81,4.0,211.0,3.0,0.0,0.0,sales,high,0
0.63,0.89,4.0,192.0,2.0,0.0,0.0,sales,high,0
0.81,,,227.0,2.0,1.0,0.0,sales,low,0
0.5,0.88,4.0,265.0,3.0,1.0,0.0,sales,low,0
0.76,0.72,5.0,228.0,2.0,0.0,0.0,sales,high,0
0.84,0.49,4.0,152.0,3.0,0.0,0.0,sales,low,0
0.2,0.95,5.0,169.0,5.0,0.0,0.0,sales,,0
0.78,0.92,3.0,169.0,3.0,0.0,0.0,sales,high,0
0.8,0.68,4.0,157.0,3.0,0.0,0.0,sales,medium,0
,0.57,4.0,251.0,2.0,1.0,0.0,sales,,0
0.44,0.74,5.0,253.0,2.0,0.0,0.0,accounting,,0
0.92,0.85,3.0,155.0,2.0,0.0,0.0,accounting,medium,0
0.54,0.8,3.0,232.0,2.0,0.0,0.0,accounting,high,0
0.56,0.56,4.0,195.0,2.0,0.0,0.0,hr,medium,0
0.66,0.69,4.0,198.0,3.0,1.0,0.0,hr,medium,0
0.8,0.91,3.0,246.0,,0.0,0.0,,medium,0
0.6,0.81,2.0,214.0,,0.0,0.0,hr,high,0
0.73,0.73,5.0,249.0,3.0,0.0,0.0,technical,medium,0
0.55,0.74,3.0,211.0,3.0,1.0,0.0,technical,high,0
0.7,0.71,5.0,269.0,3.0,0.0,0.0,technical,low,0
0.53,0.68,4.0,214.0,3.0,0.0,0.0,technical,medium,0
0.9,0.94,4.0,231.0,3.0,0.0,0.0,technical,medium,0
0.8,0.78,3.0,175.0,3.0,0.0,0.0,technical,medium,0
0.51,0.6,5.0,175.0,,0.0,0.0,technical,medium,0
0.86,0.96,5.0,238.0,5.0,0.0,0.0,technical,low,0
0.63,0.79,4.0,228.0,4.0,0.0,0.0,technical,low,0
0.83,0.93,3.0,220.0,4.0,0.0,0.0,technical,low,0
0.85,0.55,4.0,233.0,2.0,,0.0,technical,low,0
0.8,0.57,3.0,225.0,4.0,0.0,0.0,support,low,0
0.79,0.97,5.0,187.0,3.0,0.0,0.0,support,low,0
0.37,0.71,3.0,117.0,3.0,0.0,0.0,,low,0
0.85,0.9,3.0,184.0,,1.0,,support,low,0
0.76,0.56,3.0,216.0,3.0,0.0,0.0,,low,0
0.99,0.62,,140.0,2.0,1.0,0.0,support,low,0
,0.63,3.0,201.0,2.0,1.0,0.0,support,high,0
0.69,0.69,4.0,167.0,3.0,1.0,0.0,support,low,0
0.68,1.0,5.0,203.0,2.0,0.0,0.0,support,low,0
0.69,0.9,5.0,,2.0,,0.0,support,low,0
0.65,0.7,3.0,141.0,4.0,0.0,0.0,support,low,0
0.17,0.88,6.0,226.0,3.0,1.0,0.0,technical,high,0
0.48,,3.0,199.0,2.0,0.0,0.0,technical,low,0
0.65,0.59,,192.0,3.0,0.0,0.0,technical,low,0
0.57,0.49,4.0,247.0,2.0,0.0,0.0,management,low,0
0.8,0.67,3.0,164.0,3.0,0.0,0.0,IT,high,0
0.8,0.6,5.0,234.0,2.0,0.0,0.0,IT,low,0
0.5,0.6,2.0,177.0,,1.0,0.0,IT,medium,0
0.95,0.87,3.0,208.0,2.0,0.0,0.0,IT,high,0
0.69,0.93,3.0,233.0,3.0,0.0,0.0,,medium,0
0.74,0.57,4.0,172.0,3.0,0.0,0.0,product_mng,high,0
0.68,0.59,3.0,141.0,3.0,0.0,0.0,product_mng,medium,0
0.68,0.55,3.0,213.0,3.0,0.0,0.0,product_mng,medium,0
0.65,0.37,5.0,128.0,3.0,1.0,,product_mng,medium,0
0.85,0.92,4.0,151.0,3.0,1.0,0.0,IT,medium,0
0.49,0.48,4.0,247.0,3.0,0.0,0.0,RandD,medium,0
0.19,0.8,6.0,143.0,4.0,0.0,0.0,RandD,medium,0
0.95,0.61,3.0,164.0,,0.0,0.0,RandD,medium,0
0.63,0.62,,183.0,3.0,0.0,0.0,RandD,medium,0
0.83,0.8,4.0,,3.0,0.0,0.0,RandD,high,0
0.62,0.78,4.0,261.0,2.0,0.0,0.0,marketing,low,0
0.74,0.98,5.0,200.0,3.0,0.0,0.0,sales,medium,0
0.7,0.87,5.0,177.0,2.0,0.0,0.0,accounting,medium,0
0.28,0.38,5.0,139.0,4.0,0.0,0.0,support,medium,0
0.39,0.56,6.0,228.0,,0.0,0.0,technical,medium,0
0.62,0.63,3.0,230.0,2.0,0.0,0.0,management,medium,0
0.79,0.54,5.0,212.0,4.0,0.0,0.0,marketing,,0
0.87,0.74,,,4.0,0.0,0.0,marketing,medium,0
0.29,0.75,3.0,124.0,4.0,0.0,0.0,marketing,medium,0
0.37,0.88,,155.0,3.0,0.0,0.0,sales,medium,0
0.68,0.55,4.0,215.0,4.0,0.0,0.0,,,0
0.9,0.51,4.0,214.0,2.0,0.0,0.0,sales,low,0
0.97,0.65,3.0,181.0,3.0,0.0,0.0,sales,low,0
0.6,0.77,4.0,229.0,2.0,0.0,0.0,sales,low,0
0.58,0.79,5.0,262.0,2.0,0.0,0.0,sales,high,0
0.83,0.86,3.0,165.0,3.0,0.0,0.0,sales,low,0
0.83,0.73,5.0,136.0,3.0,0.0,0.0,sales,low,0
0.94,0.71,4.0,151.0,2.0,,0.0,sales,low,0
0.69,0.9,5.0,226.0,4.0,0.0,0.0,sales,high,0
0.81,0.81,5.0,,2.0,0.0,0.0,sales,low,0
0.19,0.5,6.0,143.0,5.0,1.0,0.0,sales,low,0
0.18,,3.0,223.0,4.0,1.0,0.0,sales,low,0
0.58,0.63,4.0,271.0,3.0,0.0,0.0,sales,low,0
0.76,0.65,3.0,220.0,3.0,0.0,0.0,sales,low,0
0.26,0.47,,182.0,4.0,0.0,0.0,sales,low,0
0.78,0.87,3.0,190.0,3.0,0.0,0.0,sales,low,0
0.71,0.56,3.0,198.0,3.0,0.0,0.0,sales,medium,0
0.76,0.61,,,2.0,0.0,0.0,sales,medium,0
0.44,0.81,3.0,248.0,,0.0,0.0,accounting,medium,0
0.26,,2.0,168.0,5.0,0.0,0.0,accounting,medium,0
0.75,0.57,5.0,162.0,3.0,0.0,0.0,accounting,medium,0
0.64,0.9,4.0,211.0,3.0,0.0,0.0,hr,medium,0
0.79,0.71,4.0,271.0,3.0,0.0,0.0,hr,medium,0
0.96,0.61,,271.0,2.0,0.0,0.0,hr,medium,0
0.63,1.0,5.0,244.0,2.0,0.0,0.0,,medium,0
0.65,0.55,,261.0,3.0,1.0,0.0,technical,medium,0
0.76,0.81,3.0,225.0,3.0,0.0,0.0,technical,medium,0
0.26,0.9,4.0,266.0,,0.0,0.0,technical,medium,0
0.84,0.73,3.0,146.0,5.0,1.0,0.0,technical,high,0
0.74,0.77,3.0,233.0,3.0,0.0,0.0,technical,low,0
0.53,0.45,4.0,180.0,3.0,0.0,0.0,technical,medium,0
0.7,0.56,5.0,208.0,3.0,0.0,0.0,technical,medium,0
0.62,0.69,4.0,165.0,4.0,1.0,0.0,technical,medium,0
0.71,0.68,4.0,221.0,4.0,0.0,0.0,technical,medium,0
0.5,0.65,3.0,215.0,2.0,0.0,0.0,technical,low,0
0.53,0.5,6.0,264.0,6.0,0.0,0.0,technical,low,0
0.88,,,160.0,4.0,0.0,0.0,support,low,0
0.79,0.83,2.0,192.0,3.0,0.0,0.0,support,,0
0.69,0.89,5.0,201.0,,0.0,0.0,support,low,0
0.57,0.96,4.0,264.0,2.0,0.0,0.0,support,low,0
0.68,0.8,4.0,186.0,3.0,1.0,0.0,support,low,0
0.6,0.82,4.0,272.0,3.0,0.0,0.0,support,low,0
0.7,0.9,4.0,216.0,3.0,0.0,0.0,support,low,0
0.71,0.76,4.0,142.0,2.0,1.0,0.0,support,low,0
0.49,0.51,4.0,133.0,3.0,0.0,0.0,support,low,0
0.74,0.7,4.0,260.0,2.0,0.0,0.0,support,low,0
0.2,0.93,4.0,101.0,5.0,0.0,0.0,support,low,0
0.57,0.5,4.0,230.0,2.0,0.0,0.0,technical,low,0
0.83,0.48,,242.0,4.0,0.0,0.0,technical,low,0
0.22,0.64,3.0,193.0,2.0,0.0,0.0,technical,low,0
0.67,0.57,2.0,234.0,4.0,0.0,0.0,management,low,0
0.54,0.84,3.0,132.0,3.0,0.0,0.0,IT,low,0
0.54,0.53,4.0,183.0,3.0,0.0,0.0,IT,low,0
0.64,0.61,4.0,191.0,4.0,0.0,0.0,IT,low,0
0.23,0.84,5.0,140.0,4.0,0.0,0.0,IT,low,0
0.88,0.87,5.0,257.0,3.0,0.0,,IT,medium,0
,0.54,4.0,219.0,3.0,0.0,0.0,product_mng,medium,0
0.88,0.67,5.0,141.0,2.0,0.0,0.0,product_mng,medium,0
0.9,0.85,5.0,162.0,2.0,0.0,0.0,product_mng,medium,0
0.49,0.61,3.0,181.0,3.0,0.0,0.0,product_mng,medium,0
0.55,0.49,3.0,191.0,3.0,0.0,0.0,IT,medium,0
0.92,0.69,4.0,149.0,6.0,1.0,0.0,RandD,medium,0
0.72,0.67,3.0,164.0,4.0,0.0,0.0,RandD,medium,0
0.63,0.5,4.0,,,0.0,,RandD,,0
,0.66,,199.0,3.0,0.0,0.0,RandD,medium,0
0.76,0.52,3.0,248.0,3.0,0.0,0.0,RandD,medium,0
0.42,0.56,,103.0,3.0,1.0,0.0,marketing,medium,0
0.58,0.65,4.0,248.0,4.0,0.0,0.0,marketing,high,0
0.85,,3.0,153.0,3.0,1.0,,sales,low,0
0.67,,4.0,241.0,4.0,0.0,0.0,accounting,medium,0
,1.0,4.0,258.0,3.0,0.0,0.0,support,medium,0
0.84,0.76,5.0,172.0,5.0,1.0,0.0,technical,medium,0
0.56,0.68,3.0,149.0,2.0,0.0,0.0,,medium,0
0.63,,4.0,217.0,3.0,,,marketing,low,0
0.51,0.92,,243.0,3.0,0.0,0.0,marketing,low,0
0.95,0.81,5.0,120.0,3.0,0.0,0.0,marketing,,0
0.85,0.55,3.0,137.0,3.0,1.0,0.0,sales,low,0
0.73,0.78,5.0,150.0,3.0,0.0,0.0,,low,0
0.2,0.49,5.0,199.0,5.0,0.0,0.0,sales,low,0
0.78,0.79,3.0,203.0,2.0,0.0,0.0,sales,low,0
0.83,0.8,,273.0,3.0,0.0,0.0,sales,low,0
0.87,0.56,2.0,214.0,3.0,1.0,0.0,,low,0
0.98,0.99,5.0,141.0,3.0,0.0,0.0,sales,low,0
1.0,0.81,5.0,243.0,3.0,0.0,0.0,sales,low,0
0.7,,,159.0,3.0,0.0,0.0,,low,0
0.62,0.88,5.0,146.0,3.0,0.0,0.0,sales,low,0
0.67,,4.0,159.0,2.0,0.0,0.0,sales,low,0
0.86,0.96,4.0,196.0,3.0,0.0,0.0,sales,low,0
0.44,0.57,5.0,183.0,2.0,1.0,0.0,sales,low,0
0.19,0.86,4.0,192.0,,0.0,0.0,sales,,0
0.76,0.83,4.0,246.0,2.0,0.0,0.0,sales,low,0
0.89,0.93,5.0,191.0,4.0,0.0,0.0,sales,low,0
0.25,0.97,3.0,158.0,3.0,0.0,0.0,sales,low,0
